BranchCoverage,CoveredMethodCall,Covered_Goals,ExceptionCoverage,Fitness_Evaluations,Generations,InputCoverage,Length,LineCoverage,Lines,LoopCounter,MethodCall,MethodCoverage,MutationScore,ObjectsInstantiations,OutputCoverage,Random_Seed,Size,StatementCounter,StatementCovered,Statements_Executed,TARGET_CLASS,TestExecutionTime,Tests_Executed,Total_Branches,Total_Time,WeakMutationScore,configuration_id,criterion
0.3076923076923077,0.0,1209,1.0,4600,4592,0.4677419354838709,,0.3843971631205674,74,94.0,272.0,0.9444444444444444,0.2350049164208456,0.0,0.25806451612903225,1025,81,15.0,26.0,284743,weka.classifiers.rules.JRip,28,25376,362,247988,0.5639476334340383,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.8823529411764706,1342.0,630,1.0,30,22,0.6666666666666666,,0.9454545454545454,19,932.0,11.0,0.75,0.15578947368421053,4648.0,0.6666666666666666,1026,4,0.0,4197.0,1208,org.apache.commons.imaging.common.mylzw.MyLzwCompressor,42,145,44,243833,0.9619686800894854,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.4545454545454545,9.0,957,1.0,5748,5740,0.3625,,0.5702702702702702,46,98.0,155.0,0.9333333333333332,0.19490781387181733,0.0,0.375,1027,57,11.0,188.0,401477,weka.filters.unsupervised.attribute.Discretize,33,31679,212,333661,0.5904628330995793,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.8709677419354839,0.0,303,1.0,632,624,0.4117647058823529,,0.9444444444444444,9,54449.0,39.0,1.0,0.4666666666666667,0.0,0.3333333333333333,1027,12,0.0,157597.0,73018,org.apache.commons.math3.ode.nonstiff.EmbeddedRungeKuttaIntegrator,658,3529,54,310654,0.9863013698630136,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.8140495867768595,9895.0,1388,1.0,841,833,0.7142857142857143,,0.8701298701298701,13,189599.0,94.0,1.0,0.06985871271585557,0.0,1.0,1028,28,0.0,559950.0,71231,org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator,1692,4512,238,362097,0.9220055710306406,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.825,7.0,393,1.0,373,365,0.8333333333333334,,0.8117647058823529,15,8253.0,36.0,1.0,0.220447284345048,0.0,0.3333333333333333,1029,10,0.0,8309.0,16851,org.apache.commons.imaging.common.mylzw.MyLzwDecompressor,123,2052,34,230116,0.8727915194346291,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.8571428571428571,3992.0,1708,1.0,4686,4678,0.5450236966824644,,0.8953168044077136,61,16320.0,326.0,0.95,0.39896373056994816,16258.0,0.3986928104575164,1030,117,0.0,64215.0,195478,wheel.json.JSONObject,225,25867,270,302650,0.8910505836575876,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.8175182481751825,2936.0,1552,1.0,3467,3459,0.7951807228915663,,0.927360774818402,17,19029.0,61.0,1.0,0.13066825775656324,0.0,0.375,1030,49,5.0,60962.0,234572,org.apache.commons.imaging.common.itu_t4.T4AndT6Compression,302,19241,274,278690,0.904516129032258,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.5084745762711864,29.0,575,1.0,4335,4327,0.7333333333333333,,0.5759493670886076,25,38.0,180.0,0.9090909090909092,0.5873015873015873,0.0,0.75,1031,38,0.0,58.0,281614,org.firebirdsql.jdbc.FBCachedFetcher,14,23788,108,217695,0.9337175792507204,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
0.775,19.0,384,1.0,463,455,0.6666666666666666,,0.7882352941176469,15,8253.0,26.0,1.0,0.1757188498402556,0.0,0.3333333333333333,1032,8,0.0,8333.0,22486,org.apache.commons.imaging.common.mylzw.MyLzwDecompressor,63,2440,34,193366,0.8657243816254417,dynamosa-1.0.6,BRANCH;LINE;WEAKMUTATION;INPUT;OUTPUT;EXCEPTION;CBRANCH;METHOD
